,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
99,6.83,5.54,4.959,4.67,4.632,,,4.146,3.4,,,,,1.031,0.9857,0.3802,0.4643,0.4,,,2.654,,,S-AGB
100,6.599,5.655,5.129,5.224,4.816,,,4.204,3.753,,,,,1.09,0.9102,0.3282,0.4374,0.4,,,1,,,S-AGB
101,4.372,3.423,2.914,0.581,0.08,,,1.04,0.38,,,,,19.299999,15.15,9.664,6.86,1.505,0.8441,0.6289,1.435,0.9037,0.415,S-AGB
102,7.56,6.179,5.391,4.79,4.14,,,3.97,3.269,,,,,1.471,1.58,0.6321,0.6685,0.4,,,2.618,,,S-AGB
103,4.74,3.593,3.243,1.853,1.612,,,2.289,1.864,,,,,5.535,5.443,2.093,1.759,0.1925,,,1,,,S-AGB
104,5.861,4.906,4.273,3.71,3.069,,,2.666,2.275,,,,,4.47,4.326,1.455,1.453,0.4,,,1,,,S-AGB
105,4.05,2.975,2.653,0.949,1.074,,,2.218,1.968,,,,,7.1,5.772,1.934,1.544,0.3398,,,7.747,,,S-AGB
106,5.496,4.524,4.273,4.08,3.892,,,3.865,3.636,,,,,1.605,1.276,0.4448,0.3933,0.4,,,2.205,,,S-AGB
107,4.536,3.501,3.209,2.58,3.223,,,3.24,3.039,,,,,2.768,2.206,0.7178,0.5614,0.4,,,1.091,,,S-AGB
108,6.476,5.511,5.192,5.115,5.038,,,4.839,4.537,,,,,0.5836,0.5331,0.1342,0.25,0.4,,,2.066,,,S-AGB
109,7.001,5.882,5.157,4.019,3.017,,,2.473,1.907,,,,,2.587,2.482,1.366,1.238,1.414,,,24.14,,,S-AGB
110,6.209,5.267,4.838,4.703,4.624,,,4.418,3.527,,,,,0.8727,0.691,0.3732,0.3898,0.4,,,8.62,,,S-AGB
111,6.49,5.466,5.04,4.849,4.663,,,4.364,3.898,,,,,0.7652,0.7326,0.2628,0.287,0.4,,,3.106,,,S-AGB
112,4.353,3.223,2.727,1.104,0.858,,,2.12,1.732,,,,,7.943,7.024,2.274,2.226,0.4121,,,1.562,,,S-AGB
113,6.889,5.817,5.339,5.021,5.171,,,4.99,4.831,,,,,,0.425,0.1511,0.25,0.4,,,1.7,,,S-AGB
114,5.582,4.528,4.226,3.933,3.654,,,3.902,3.753,,,,,1.545,1.147,0.4218,0.3631,0.4,,,1,,,S-AGB
115,6.3,5.41,5.039,4.896,4.766,,,4.734,4.51,,,,,0.7058,0.6987,0.1833,0.2899,0.4,,,1.898,,,S-AGB
116,5.868,5.022,4.692,4.599,4.45,,,4.567,4.444,,,,,0.8173,0.5768,0.201,0.25,0.4,,,14.1,,,S-AGB
117,5.405,4.426,4.114,3.785,3.659,,,3.72,3.429,,,,,1.974,1.368,0.5277,0.424,0.5838,,,6.437,,,S-AGB
118,5.9,4.899,4.392,4.096,4.06,,,3.95,3.518,,,,,,1.122,0.4157,0.3608,0.4,,,1,,,S-AGB
119,8.563,7.182,6.447,5.55,5.254,,,4.232,3.606,,,,,0.6638,0.6447,0.2448,0.25,0.4,,,8.063,,,S-AGB
120,5.808,4.949,4.521,4.396,4.186,,,3.915,3.404,,,,,1.37,1.202,0.4639,0.416,0.4,,,1,,,S-AGB
121,6.728,5.815,5.484,5.334,5.428,,,5.288,5.16,,,,,0.439,0.3687,,0.25,0.4,,,1.315,,,S-AGB
122,3.935,2.86,2.429,0.844,0.955,,,2.077,1.731,,,,,8.101,5.894,2.038,1.848,1.109,1.052,0.9724,1,1.698,,S-AGB
123,5.403,4.193,3.578,2.049,3.054,,,2.748,2.311,,,,,4.185,3.505,1.366,1.102,0.4,,,18.77,,,S-AGB
124,4.688,3.611,3.332,3.292,3.065,,,2.733,2.02,,,,,3.79,3.518,1.861,1.589,0.4,,,1,,,S-AGB
