,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,,,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,,J (1.22u),H (1.63u),K (2.19u),3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,8.28u,12.13u,14.65,21.34,,,class
,10.361,10.45,10.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.375,8.917,8.308,,,,,,,,,,,,,,,,2.28,,1.83,0.641,,,10.4,,,,,,,,,Post- AGB
,7.665,7.423,7.281,,,,,,,,,,,,,,,,0.714,,17.6,12.3,,,3.68,,,,,,,,,Post- AGB
,7.974,6.923,5.685,,,,,,,,,,,,,,,,18,,51.8,29.8,,,10.4,,,,,,,,,Post- AGB
,8.506,8.25,8.082,,,,,,,,,,,,,,,,3.51,,5.92,1.24,,,1.13,,,,,,,,,Post- AGB
,7.891,6.824,5.285,,,,,,,,,,,,,,,,131,,94.3,26.1,,,12,,,,,,,,,Post- AGB
,9.13,8.06,6.949,,,,,,,,,,,,,,,,3.78,,2.53,0.652,,,1,,,,,,,,,Post- AGB
,12.268,11.641,11.491,,,,,,,,,,,,,,,,2.85,,14.2,10.2,,,2.91,,,,,,,,,Post- AGB
,7.083,5.68,4.912,,,,,,,,,,,,,,,,11.6,,26.8,22.5,,,10.8,,,,,,,,,Post- AGB
,9.172,8.664,8.408,,,,,,,,,,,,,,,,0.604,,9.26,6.06,,,3.73,,,,,,,,,Post- AGB
,14.072,13.003,11.832,,,,,,,,,,,,,,,,20.4,,126,92.3,,,28.6,,,,,,,,,Post- AGB
,6.806,6.807,6.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,15.352,14.915,14.831,,,,,,,,,,,,,,,,15,,31,12.8,,,8.81,,,,,,,,,Post- AGB
,5.575,4.743,3.523,,,,,,,,,,,,,,,,180,,159,56.2,,,28.4,,,,,,,,,Post- AGB
,4.921,4.225,3.208,,,,,,,,,,,,,,,,48.2,,9.55,1.77,,,1.69,,,,,,,,,Post- AGB
,10.652,10.237,10.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,8.372,7.391,6.369,,,,,,,,,,,,,,,,15.3,,12.1,2.86,,,24.7,,,,,,,,,Post- AGB
,,,,,,,,,,,,,,,,,,,10.8,,30.1,14.2,,,5.41,,,,,,,,,Post- AGB
,9.657,9.047,8.63,,,,,,,,,,,,,,,,11.4,,14.2,1.78,,,1,,,,,,,,,Post- AGB
,11.148,10.976,10.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,5.875,5.151,4.367,,,,,,,,,,,,,,,,101,,96.2,34.5,,,13.5,,,,,,,,,Post- AGB
,,,,,,,,,,,,,,,,,,,16.8,,57,27.8,,,52.9,,,,,,,,,Post- AGB
,10.981,9.862,9.103,,,,,,,,,,,,,,,,4.3,,53.5,29.8,,,41.3,,,,,,,,,Post- AGB
,9.877,8.966,7.399,,,,,,,,,,,,,,,,200,,1090,588,,,273,,,,,,,,,Post- AGB
,3.354,2.469,2.045,,,,,,,,,,,,,,,,189,,116,30.9,,,10.9,,,,,,,,,Post- AGB
,7.098,6.532,5.636,,,,,,,,,,,,,,,,22.1,,15.6,10.9,,,58.9,,,,,,,,,Post- AGB
,7.126,6.193,5.814,,,,,,,,,,,,,,,,0.506,,0.25,0.4,,,1.11,,,,,,,,,Post- AGB
,10.235,9.656,9.184,,,,,,,,,,,,,,,,0.71,,0.395,1.95,,,23.1,,,,,,,,,Post- AGB
,5.947,5.138,3.991,,,,,,,,,,,,,,,,92.6,,138,193,,,104,,,,,,,,,Post- AGB
,9.402,8.574,7.721,,,,,,,,,,,,,,,,2.33,,1.6,0.531,,,1.34,,,,,,,,,Post- AGB
